,fips,cases,deaths,employed-sugar-intake-daily,Democrats,Republicans
0,6,1,0,22.9,True,False
1,4,1,0,33.0,False,True
2,6,2,0,22.9,True,False
3,4,1,0,33.0,False,True
4,6,2,0,22.9,True,False
5,4,1,0,33.0,False,True
6,6,2,0,22.9,True,False
7,4,1,0,33.0,False,True
8,6,2,0,22.9,True,False
9,4,1,0,33.0,False,True
10,6,2,0,22.9,True,False
11,4,1,0,33.0,False,True
12,6,3,0,22.9,True,False
13,4,1,0,33.0,False,True
14,6,3,0,22.9,True,False
15,4,1,0,33.0,False,True
16,6,6,0,22.9,True,False
17,4,1,0,33.0,False,True
18,6,6,0,22.9,True,False
19,4,1,0,33.0,False,True
20,6,6,0,22.9,True,False
21,4,1,0,33.0,False,True
22,6,6,0,22.9,True,False
23,55,1,0,29.7,False,True
24,4,1,0,33.0,False,True
25,6,6,0,22.9,True,False
26,55,1,0,29.7,False,True
27,4,1,0,33.0,False,True
28,6,6,0,22.9,True,False
29,55,1,0,29.7,False,True
30,4,1,0,33.0,False,True
31,6,6,0,22.9,True,False
32,55,1,0,29.7,False,True
33,4,1,0,33.0,False,True
34,6,6,0,22.9,True,False
35,55,1,0,29.7,False,True
36,4,1,0,33.0,False,True
37,6,7,0,22.9,True,False
38,55,1,0,29.7,False,True
39,4,1,0,33.0,False,True
40,6,7,0,22.9,True,False
41,55,1,0,29.7,False,True
42,4,1,0,33.0,False,True
43,6,7,0,22.9,True,False
44,55,1,0,29.7,False,True
45,4,1,0,33.0,False,True
46,6,7,0,22.9,True,False
47,55,1,0,29.7,False,True
48,4,1,0,33.0,False,True
49,6,7,0,22.9,True,False
50,55,1,0,29.7,False,True
51,4,1,0,33.0,False,True
52,6,7,0,22.9,True,False
53,55,1,0,29.7,False,True
54,4,1,0,33.0,False,True
55,6,7,0,22.9,True,False
56,55,1,0,29.7,False,True
57,4,1,0,33.0,False,True
58,6,7,0,22.9,True,False
59,31,10,0,31.1,False,True
60,55,1,0,29.7,False,True
61,4,1,0,33.0,False,True
62,6,7,0,22.9,True,False
63,31,10,0,31.1,False,True
64,55,1,0,29.7,False,True
65,4,1,0,33.0,False,True
66,6,7,0,22.9,True,False
67,31,10,0,31.1,False,True
68,55,1,0,29.7,False,True
69,4,1,0,33.0,False,True
70,6,8,0,22.9,True,False
71,31,11,0,31.1,False,True
72,55,1,0,29.7,False,True
73,4,1,0,33.0,False,True
74,6,9,0,22.9,True,False
75,31,11,0,31.1,False,True
76,55,1,0,29.7,False,True
77,4,1,0,33.0,False,True
78,6,9,0,22.9,True,False
79,31,11,0,31.1,False,True
80,55,1,0,29.7,False,True
81,4,1,0,33.0,False,True
82,6,9,0,22.9,True,False
83,31,11,0,31.1,False,True
84,55,1,0,29.7,False,True
85,4,1,0,33.0,False,True
86,6,11,0,22.9,True,False
87,31,12,0,31.1,False,True
88,55,1,0,29.7,False,True
89,4,1,0,33.0,False,True
90,6,11,0,22.9,True,False
91,31,13,0,31.1,False,True
92,49,1,0,30.3,False,True
93,55,1,0,29.7,False,True
94,4,1,0,33.0,False,True
95,6,26,0,22.9,True,False
96,31,13,0,31.1,False,True
97,49,1,0,30.3,False,True
98,55,1,0,29.7,False,True
99,4,1,0,33.0,False,True
100,6,26,0,22.9,True,False
101,31,13,0,31.1,False,True
102,49,1,0,30.3,False,True
103,55,1,0,29.7,False,True
104,4,1,0,33.0,False,True
